countries,Year,(Territorial & Low GHG with VOLY) scenario [%],(Territorial & Low GHG with VSL) scenario [%],(Territorial & Central GHG with VOLY) scenario [%],(Territorial & Central GHG with VSL) scenario [%],(Territorial & High GHG with VOLY) scenario [%],(Territorial & High GHG with VSL) scenario [%],(Residential & Low GHG with VOLY) scenario [%],(Residential & Low GHG with VSL) scenario [%],(Residential & Central GHG with VOLY) scenario [%],(Residential & Central GHG with VSL) scenario [%],(Residential & High GHG with VOLY) scenario [%],(Residential & High GHG with VSL) scenario [%],(Footprint & Low GHG with VOLY) scenario [%],(Footprint & Low GHG with VSL) scenario [%],(Footprint & Central GHG with VOLY) scenario [%],(Footprint & Central GHG with VSL) scenario [%],(Footprint & High GHG with VOLY) scenario [%],(Footprint & High GHG with VSL) scenario [%]
Belgium,1990,,,,,,,,,,,,,,,,,,
Bulgaria,1990,,,,,,,,,,,,,,,,,,
Cyprus,1990,,,,,,,,,,,,,,,,,,
Czechia,1990,,,,,,,,,,,,,,,,,,
Germany,1990,37.7118139507751,99.92049929387355,42.052830856377064,104.2615161994755,85.35964236702517,147.5683277101236,,,,,,,,,,,,
Denmark,1990,16.4248971358519,33.268577282411066,19.449123531194328,36.2928036777535,49.61938209425334,66.4630622408125,,,,,,,,,,,,
Estonia,1990,,,,,,,,,,,,,,,,,,
Greece,1990,,,,,,,,,,,,,,,,,,
Spain,1990,,,,,,,,,,,,,,,,,,
Finland,1990,17.88633685473931,27.582002393287304,19.599866378981442,29.295531917529438,36.69436329939701,46.390028837945,,,,,,,,,,,,
France,1990,33.61892152466525,68.42957757985644,35.813079782559996,70.6237358377512,57.702420498224306,92.5130765534155,,,,,,,,,,,,
Croatia,1990,,,,,,,,,,,,,,,,,,
Hungary,1990,,,,,,,,,,,,,,,,,,
Ireland,1990,,,,,,,,,,,,,,,,,,
Italy,1990,,,,,,,,,,,,,,,,,,
Lithuania,1990,,,,,,,,,,,,,,,,,,
Latvia,1990,,,,,,,,,,,,,,,,,,
Malta,1990,,,,,,,,,,,,,,,,,,
Netherlands,1990,,,,,,,,,,,,,,,,,,
Norway,1990,13.063588768472547,19.36777968663125,14.910121571666107,21.214312489824806,33.331484536858994,39.63567545501769,,,,,,,,,,,,
Poland,1990,,,,,,,,,,,,,,,,,,
Portugal,1990,,,,,,,,,,,,,,,,,,
